5】、7,time,lat,lng,flex,gsr,bpm
532,15:44:08,45.42866,12.36278,18,272,121
533,15:44:08,45.42866,12.36278,20,272,121
534,15:44:08,45.42866,12.36278,32,272,121
535,15:44:08,45.42866,12.36278,18,271,119
536,15:44:08,45.42866,12.36278,18,272,121
537,15:44:21,45.428568,12.362741,20,271,121
538,15:44:21,45.428568,12.362741,20,271,121
539,15:44:21,45.428568,12.362741,30,270,121
540,15:44:21,45.428568,12.362741,18,271,121
541,01:14:26,45.428536,0,19,270,120
542,01:14:26,45.428536,0,19,271,121
543,01:14:26,45.428536,0,21,270,121
544,01:14:26,45.428536,0,21,270,121
545,01:14:26,45.428536,0,19,270,117
546,01:14:26,45.428536,0,17,270,121
547,01:14:26,45.428536,0,18,270,121
548,01:14:26,45.428536,0,20,270,121
549,01:14:26,45.428536,0,19,269,121
550,01:14:26,45.428536,0,21,269,119
551,01:14:26,45.428536,0,20,268,120
552,01:14:26,45.428536,0,16,267,121
553,01:14:26,45.428536,0,16,267,119
554,01:14:26,45.428536,0,17,268,119
555,15:44:40,45.428436,12.362723,15,267,121
556,15:44:40,45.428436,12.362723,17,266,115
557,15:44:40,45.428436,12.362723,18,266,121
558,15:44:40,45.428436,12.362723,17,265,119
559,15:44:45,45.428415,12.36272,17,267,120
560,15:44:45,45.428415,12.36272,17,264,113
561,15:44:45,45.428415,12.36272,18,265,120
562,15:44:45,45.428415,12.36272,17,267,124
563,15:44:45,45.428415,12.36272,15,267,127
564,15:44:45,45.428415,12.36272,16,268,124
565,15:44:45,45.428415,12.36272,15,268,121
566,15:44:52,45.428342,12.362704,14,268,122
567,141:40:00,45.428316,1.362706,14,269,119
568,141:40:00,45.428316,1.362706,15,269,123
569,141:40:00,45.428316,1.362706,18,269,118
570,141:40:00,45.428316,1.362706,18,270,123
571,01:14:58,45.428266,12.362719,16,269,120
572,01:14:58,45.428266,12.362719,14,270,122
573,01:14:58,45.428266,12.362719,13,269,119
574,01:14:58,45.428266,12.362719,13,268,120
575,01:14:58,45.428266,12.362719,15,267,114
576,01:14:58,45.428266,12.362719,15,266,121
577,01:14:58,45.428266,12.362719,16,264,121
578,15:45:05,45.428212,12.36273,19,261,121
